id,polarity
234,positive
235,positive
236,negative
237,positive
238,positive
239,negative
240,positive
241,positive
242,positive
243,negative
244,positive
245,positive
246,positive
247,negative
248,negative
249,positive
250,positive
251,negative
252,positive
253,positive
254,positive
255,positive
256,positive
257,positive
258,positive
259,positive
260,positive
261,positive
262,positive
263,positive
264,negative
265,positive
266,positive
267,positive
268,positive
269,negative
270,positive
271,positive
272,negative
273,positive
274,positive
275,positive
276,negative
277,positive
278,positive
279,positive
280,positive
281,positive
282,positive
283,negative
284,positive
285,negative
286,positive
287,positive
288,positive
289,positive
290,positive
291,negative
292,positive
293,positive
294,positive
295,positive
296,positive
297,positive
298,negative
299,positive
300,positive
301,positive
302,positive
303,negative
304,positive
305,negative
306,negative
307,negative
308,positive
309,positive
310,negative
311,positive
312,negative
313,positive
314,positive
315,positive
316,positive
317,positive
318,positive
319,negative
320,negative
321,positive
322,positive
323,positive
324,negative
325,negative
326,positive
327,positive
328,negative
329,positive
330,positive
331,negative
332,negative
333,positive
334,negative
335,positive
336,positive
337,positive
338,positive
339,positive
340,positive
341,positive
342,positive
343,positive
344,positive
345,positive
346,positive
347,negative
348,positive
349,positive
350,positive
351,positive
352,positive
353,positive
354,positive
355,positive
356,positive
357,positive
358,positive
359,positive
360,positive
361,positive
362,positive
363,positive
364,negative
365,positive
366,positive
367,negative
368,positive
369,positive
370,positive
371,negative
372,positive
373,negative
374,positive
375,positive
376,positive
377,positive
378,negative
379,positive
380,negative
381,positive
382,positive
383,negative
384,positive
385,positive
386,positive
387,positive
388,positive
389,negative
390,negative
391,positive
392,positive
393,negative
394,positive
395,positive
396,positive
397,negative
398,positive
399,positive
400,positive
401,negative
402,negative
403,negative
404,positive
405,negative
406,positive
407,positive
408,positive
409,positive
410,positive
411,negative
412,negative
413,negative
414,positive
415,positive
416,negative
417,negative
418,positive
419,positive
420,negative
421,positive
422,negative
423,negative
424,positive
425,negative
426,positive
427,negative
428,positive
429,positive
430,positive
431,positive
432,positive
433,positive
434,negative
435,positive
436,positive
437,positive
438,positive
439,negative
440,positive
441,positive
442,positive
443,positive
444,positive
445,positive
446,negative
447,positive
448,positive
449,positive
450,positive
451,positive
452,positive
453,negative
454,negative
455,negative
456,positive
457,positive
458,positive
459,positive
460,positive
461,positive
462,negative
463,positive
464,negative
465,negative
466,negative
467,negative
468,positive
469,positive
470,negative
471,negative
472,positive
473,positive
474,negative
475,negative
476,positive
477,positive
478,negative
479,negative
480,positive
481,positive
482,negative
483,positive
484,negative
485,positive
486,negative
487,positive
488,positive
489,negative
490,positive
491,positive
492,positive
493,positive
494,negative
495,positive
496,positive
497,positive
498,positive
499,positive
500,negative
501,positive
502,negative
503,negative
504,positive
505,positive
506,positive
507,positive
508,positive
509,positive
510,negative
511,positive
512,positive
513,positive
514,positive
515,positive
516,negative
517,positive
518,positive
519,positive
520,negative
521,positive
522,positive
523,positive
524,negative
525,positive
526,positive
527,negative
528,negative
529,positive
530,positive
531,negative
532,positive
533,positive
534,positive
535,positive
536,positive
537,positive
538,negative
539,positive
540,positive
541,positive
542,positive
543,positive
544,positive
545,positive
546,positive
547,positive
548,positive
549,positive
550,negative
551,neutral
552,positive
553,negative
554,positive
555,positive
556,positive
557,negative
558,negative
559,negative
560,positive
561,negative
562,positive
563,negative
564,negative
565,positive
566,negative
567,negative
568,negative
569,positive
570,positive
571,positive
572,positive
573,negative
574,positive
575,positive
576,positive
577,positive
578,negative
579,positive
580,positive
581,negative
582,positive
583,positive
584,positive
585,positive
586,positive
587,negative
588,positive
589,positive
590,positive
591,negative
592,positive
593,positive
594,negative
595,positive
596,negative
597,positive
598,positive
599,positive
600,positive
601,positive
602,positive
603,negative
604,positive
605,positive
606,positive
607,positive
608,positive
609,negative
610,positive
611,positive
612,positive
613,negative
614,negative
615,positive
616,positive
617,negative
618,positive
619,positive
620,negative
621,positive
622,positive
623,negative
624,negative
625,positive
626,negative
627,positive
628,positive
629,positive
630,negative
631,negative
632,negative
633,positive
634,negative
635,negative
636,negative
637,positive
638,positive
639,positive
640,positive
641,negative
642,positive
643,positive
644,positive
645,negative
646,positive
647,negative
648,negative
649,negative
650,negative
651,positive
652,positive
653,positive
654,positive
655,positive
656,positive
657,positive
658,positive
659,positive
660,negative
661,positive
662,positive
663,positive
664,negative
665,positive
666,positive
667,positive
668,negative
669,negative
670,positive
671,positive
672,positive
673,positive
674,positive
675,positive
676,positive
677,positive
678,negative
679,negative
680,negative
681,positive
682,positive
683,positive
684,positive
685,positive
686,positive
687,negative
688,negative
689,negative
690,positive
691,negative
692,negative
693,positive
694,negative
695,positive
696,positive
697,positive
698,positive
699,positive
700,negative
701,positive
702,negative
703,negative
704,positive
705,positive
706,positive
707,negative
708,positive
709,positive
710,positive
711,negative
712,positive
713,positive
714,positive
715,positive
716,positive
717,negative
718,negative
719,negative
720,negative
721,positive
722,positive
723,positive
724,negative
725,negative
726,negative
727,negative
728,positive
729,positive
730,negative
731,negative
732,negative
733,positive
734,positive
735,positive
736,negative
737,positive
738,positive
739,positive
740,positive
741,negative
742,positive
743,positive
744,positive
745,positive
746,negative
747,positive
748,positive
749,negative
750,negative
751,positive
752,positive
753,positive
754,positive
755,negative
756,positive
757,positive
758,negative
759,positive
760,positive
761,positive
762,positive
763,positive
764,positive
765,positive
766,negative
767,positive
768,positive
769,negative
770,negative
771,positive
772,positive
773,positive
774,negative
775,positive
776,negative
777,negative
778,negative
779,positive
780,negative
781,negative
782,negative
783,positive
784,positive
785,negative
786,negative
787,negative
788,positive
789,negative
790,positive
791,positive
792,positive
793,positive
794,positive
795,negative
796,negative
797,negative
798,positive
799,negative
800,positive
801,positive
802,positive
803,negative
804,positive
805,positive
806,negative
807,positive
808,positive
809,negative
810,positive
811,negative
812,positive
813,positive
814,positive
815,positive
816,positive
817,positive
818,positive
819,positive
820,positive
821,positive
822,positive
823,negative
824,positive
825,positive
826,positive
827,positive
828,positive
829,positive
830,negative
831,positive
832,negative
833,positive
834,positive
835,positive
836,positive
837,positive
838,positive
839,positive
840,positive
841,negative
842,positive
843,positive
844,positive
845,positive
846,positive
847,negative
848,positive
849,negative
850,positive
851,positive
852,positive
853,negative
854,positive
855,negative
856,positive
857,positive
858,neutral
859,positive
860,negative
861,positive
862,positive
863,positive
864,positive
865,positive
866,positive
867,positive
868,positive
869,positive
870,positive
871,positive
872,positive
873,negative
874,positive
875,positive
876,positive
877,positive
878,positive
879,positive
880,positive
881,negative
882,negative
883,positive
884,positive
885,positive
886,positive
887,negative
888,positive
889,positive
890,positive
891,negative
892,negative
893,positive
894,positive
895,positive
896,positive
897,positive
898,negative
899,positive
900,positive
901,negative
902,positive
903,positive
904,negative
905,positive
906,positive
907,positive
908,negative
909,negative
910,positive
911,positive
912,positive
913,positive
914,positive
915,positive
916,positive
917,negative
918,positive
919,positive
920,negative
921,neutral
922,positive
923,positive
924,positive
925,negative
926,negative
927,positive
928,positive
929,positive
930,positive
931,positive
932,positive
933,positive
934,negative
935,negative
936,positive
937,positive
938,negative
939,positive
940,positive
941,positive
942,positive
943,positive
944,negative
945,positive
946,positive
947,negative
948,negative
949,positive
950,positive
951,positive
952,negative
953,negative
954,negative
955,positive
956,positive
957,positive
958,positive
959,positive
960,negative
961,positive
962,positive
963,positive
964,positive
965,positive
966,positive
967,positive
968,positive
969,positive
970,positive
971,negative
972,positive
973,positive
974,positive
975,positive
976,positive
977,positive
978,negative
979,positive
980,positive
981,positive
982,positive
983,positive
984,positive
985,negative
986,positive
987,positive
988,positive
989,negative
990,negative
991,negative
992,positive
993,neutral
994,positive
995,positive
996,positive
997,positive
998,negative
999,positive
1000,negative
1001,positive
1002,positive
1003,positive
1004,positive
1005,negative
1006,neutral
1007,negative
1008,positive
1009,negative
1010,positive
1011,positive
1012,positive
1013,positive
1014,positive
1015,negative
1016,negative
1017,negative
1018,positive
1019,positive
1020,positive
1021,positive
1022,negative
1023,positive
1024,negative
1025,positive
1026,positive
1027,positive
1028,negative
1029,positive
1030,positive
1031,positive
1032,positive
1033,positive
1034,negative
1035,negative
1036,positive
1037,negative
1038,negative
1039,negative
1040,negative
1041,negative
1042,negative
1043,negative
1044,positive
1045,positive
1046,positive
1047,neutral
1048,negative
1049,negative
1050,negative
1051,positive
1052,positive
1053,positive
1054,positive
1055,positive
1056,positive
1057,positive
1058,positive
1059,negative
1060,positive
1061,positive
1062,positive
1063,positive
1064,positive
1065,negative
1066,positive
1067,positive
1068,positive
1069,positive
1070,positive
1071,positive
1072,positive
1073,positive
1074,negative
1075,negative
1076,negative
1077,negative
1078,negative
1079,positive
1080,negative
1081,positive
1082,negative
1083,positive
1084,positive
1085,positive
1086,negative
1087,positive
1088,positive
1089,positive
1090,positive
1091,positive
1092,positive
1093,negative
1094,negative
1095,negative
1096,positive
1097,positive
1098,positive
1099,positive
1100,negative
1101,positive
1102,positive
1103,positive
1104,positive
1105,positive
1106,positive
1107,positive
1108,positive
1109,negative
1110,positive
1111,positive
1112,positive
1113,negative
1114,positive
1115,positive
1116,positive
1117,positive
1118,negative
1119,positive
1120,positive
1121,positive
1122,negative
1123,negative
1124,positive
1125,neutral
1126,negative
1127,positive
1128,positive
1129,positive
1130,positive
1131,negative
1132,positive
1133,positive
1134,negative
1135,positive
1136,positive
1137,positive
1138,positive
1139,positive
1140,negative
1141,positive
1142,positive
1143,positive
1144,positive
1145,positive
1146,positive
1147,negative
1148,positive
1149,positive
1150,positive
1151,negative
1152,negative
1153,neutral
1154,positive
1155,negative
1156,negative
1157,positive
1158,positive
1159,positive
1160,positive
1161,positive
1162,negative
1163,positive
1164,positive
1165,positive
1166,neutral
1167,positive
1168,positive
1169,positive
1170,negative
1171,positive
1172,positive
1173,positive
1174,positive
1175,negative
1176,negative
1177,positive
1178,positive
1179,positive
1180,positive
1181,positive
1182,positive
1183,positive
1184,positive
1185,positive
1186,negative
1187,positive
1188,negative
1189,positive
1190,negative
1191,positive
1192,negative
1193,positive
1194,negative
1195,positive
1196,negative
1197,positive
1198,positive
1199,negative
1200,negative
1201,positive
1202,positive
1203,negative
1204,positive
1205,positive
1206,positive
1207,negative
1208,positive
1209,negative
1210,positive
1211,negative
1212,negative
1213,positive
1214,negative
1215,negative
1216,negative
1217,positive
1218,positive
1219,negative
1220,negative
1221,positive
1222,positive
1223,negative
1224,positive
1225,positive
1226,positive
1227,positive
1228,positive
1229,positive
1230,negative
1231,positive
1232,positive
1233,positive
1234,negative
1235,positive
1236,positive
1237,positive
1238,positive
1239,negative
1240,positive
1241,negative
1242,negative
1243,positive
1244,negative
1245,negative
1246,negative
1247,positive
1248,positive
1249,positive
1250,positive
1251,negative
1252,positive
1253,positive
1254,negative
1255,positive
1256,positive
1257,negative
1258,negative
1259,positive
1260,positive
1261,negative
1262,negative
1263,positive
1264,positive
1265,positive
1266,negative
1267,positive
1268,positive
1269,negative
1270,negative
1271,positive
1272,positive
1273,positive
1274,negative
1275,negative
1276,positive
1277,positive
1278,positive
1279,positive
1280,positive
1281,positive
1282,negative
1283,positive
1284,positive
1285,positive
1286,positive
1287,positive
1288,negative
1289,positive
1290,negative
1291,positive
1292,positive
1293,positive
1294,negative
1295,negative
1296,positive
1297,negative
1298,positive
1299,positive
1300,positive
1301,positive
1302,positive
1303,positive
1304,positive
1305,negative
1306,positive
1307,positive
1308,negative
1309,negative
1310,negative
1311,positive
1312,positive
1313,negative
1314,positive
1315,positive
1316,positive
1317,positive
1318,negative
1319,positive
1320,negative
1321,positive
1322,positive
1323,positive
1324,negative
1325,negative
1326,positive
1327,positive
1328,negative
1329,positive
1330,positive
1331,negative
1332,positive
1333,negative
1334,positive
1335,positive
1336,positive
1337,positive
1338,negative
1339,positive
1340,positive
1341,negative
1342,negative
1343,positive
1344,negative
1345,negative
1346,positive
1347,positive
1348,positive
1349,positive
1350,positive
1351,positive
1352,negative
1353,negative
1354,positive
1355,positive
1356,positive
1357,neutral
1358,positive
1359,negative
1360,negative
1361,positive
1362,positive
1363,positive
1364,positive
1365,negative
1366,positive
1367,negative
1368,negative
1369,positive
1370,positive
1371,positive
1372,positive
1373,positive
1374,positive
1375,positive
1376,negative
1377,negative
1378,negative
1379,negative
1380,negative
1381,negative
1382,positive
1383,positive
1384,negative
1385,positive
1386,negative
1387,positive
1388,positive
1389,positive
1390,positive
1391,positive
1392,negative
1393,positive
1394,negative
1395,positive
1396,negative
1397,positive
1398,negative
1399,positive
1400,positive
1401,positive
1402,negative
1403,positive
1404,positive
1405,positive
1406,negative
1407,negative
1408,positive
1409,positive
1410,positive
1411,positive
1412,negative
1413,positive
1414,negative
1415,positive
1416,negative
1417,positive
1418,positive
1419,positive
1420,positive
1421,positive
1422,negative
1423,negative
1424,neutral
1425,negative
1426,positive
1427,positive
1428,negative
1429,positive
1430,positive
1431,positive
1432,positive
1433,positive
1434,positive
1435,negative
1436,positive
1437,positive
1438,positive
1439,positive
1440,negative
1441,negative
1442,positive
1443,negative
1444,positive
1445,negative
1446,positive
1447,negative
1448,positive
1449,positive
1450,positive
1451,positive
1452,negative
1453,positive
1454,positive
1455,negative
1456,positive
1457,negative
1458,positive
1459,negative
1460,positive
1461,positive
1462,positive
1463,positive
1464,negative
1465,positive
1466,positive
1467,positive
1468,positive
1469,positive
1470,negative
1471,positive
1472,positive
1473,positive
1474,positive
1475,positive
1476,positive
1477,negative
1478,positive
1479,positive
1480,positive
1481,positive
1482,negative
1483,positive
1484,positive
1485,negative
1486,positive
1487,positive
1488,positive
1489,negative
1490,positive
1491,positive
1492,positive
1493,positive
1494,positive
1495,positive
1496,positive
1497,positive
1498,positive
1499,positive
1500,positive
1501,positive
1502,negative
1503,positive
1504,negative
1505,positive
1506,negative
1507,positive
1508,positive
1509,positive
1510,positive
1511,positive
1512,positive
1513,positive
1514,negative
1515,negative
1516,negative
1517,positive
1518,positive
1519,negative
1520,positive
1521,positive
1522,positive
1523,positive
1524,negative
1525,negative
1526,positive
1527,positive
1528,positive
1529,positive
1530,negative
1531,positive
1532,negative
1533,negative
1534,positive
1535,positive
1536,positive
1537,positive
1538,negative
1539,positive
1540,positive
1541,negative
1542,negative
1543,positive
1544,positive
1545,negative
1546,positive
1547,positive
1548,positive
1549,positive
1550,negative
1551,positive
1552,positive
1553,positive
1554,positive
1555,positive
1556,positive
1557,positive
1558,negative
1559,positive
1560,negative
1561,positive
1562,positive
1563,positive
1564,positive
1565,positive
1566,positive
1567,positive
1568,positive
1569,neutral
1570,negative
1571,positive
1572,positive
1573,positive
1574,positive
1575,positive
1576,positive
1577,positive
1578,negative
1579,positive
1580,negative
1581,positive
1582,positive
1583,positive
1584,positive
1585,positive
1586,positive
1587,positive
1588,positive
1589,positive
1590,positive
1591,positive
1592,negative
1593,positive
1594,positive
1595,positive
1596,positive
1597,negative
1598,positive
1599,negative
1600,negative
1601,positive
1602,negative
1603,positive
1604,positive
1605,positive
1606,positive
1607,negative
1608,positive
1609,negative
1610,positive
1611,positive
1612,negative
1613,positive
1614,positive
1615,positive
1616,positive
1617,negative
1618,positive
1619,negative
1620,negative
1621,positive
1622,positive
1623,positive
1624,positive
1625,negative
1626,positive
1627,negative
1628,positive
1629,positive
1630,negative
1631,positive
1632,negative
1633,positive
1634,positive
1635,positive
1636,negative
1637,positive
1638,negative
1639,positive
1640,negative
1641,positive
1642,positive
1643,positive
1644,positive
1645,positive
1646,negative
1647,negative
1648,positive
1649,positive
1650,positive
1651,negative
1652,positive
1653,negative
1654,positive
1655,negative
1656,positive
1657,positive
1658,positive
1659,positive
1660,positive
1661,positive
1662,positive
1663,positive
1664,positive
1665,positive
1666,positive
1667,positive
1668,positive
1669,positive
1670,positive
1671,positive
1672,negative
1673,positive
1674,negative
1675,positive
1676,negative
1677,negative
1678,positive
1679,positive
1680,positive
1681,negative
1682,negative
1683,negative
1684,positive
1685,positive
1686,positive
1687,positive
1688,positive
1689,negative
1690,negative
1691,positive
1692,positive
1693,negative
1694,positive
1695,positive
1696,negative
1697,negative
1698,positive
1699,positive
1700,positive
1701,positive
1702,positive
1703,positive
1704,positive
1705,negative
1706,positive
1707,positive
1708,negative
1709,positive
1710,positive
1711,positive
1712,positive
1713,positive
1714,negative
1715,positive
1716,positive
1717,positive
1718,positive
1719,positive
1720,neutral
1721,positive
1722,positive
1723,positive
1724,negative
1725,positive
1726,negative
1727,positive
1728,negative
1729,positive
1730,positive
1731,positive
1732,positive
1733,positive
1734,positive
1735,positive
1736,positive
1737,negative
1738,positive
1739,negative
1740,negative
1741,positive
1742,positive
1743,negative
1744,positive
1745,positive
1746,positive
1747,positive
1748,positive
1749,positive
1750,neutral
1751,positive
1752,positive
1753,positive
1754,positive
1755,positive
1756,positive
1757,positive
1758,negative
1759,positive
1760,positive
1761,neutral
1762,positive
1763,positive
1764,neutral
1765,negative
1766,positive
1767,positive
1768,positive
1769,positive
1770,positive
1771,negative
1772,positive
1773,negative
1774,positive
1775,positive
1776,positive
1777,negative
1778,positive
1779,positive
1780,positive
1781,negative
1782,positive
1783,positive
1784,negative
1785,positive
1786,negative
1787,positive
1788,positive
1789,negative
1790,negative
1791,positive
1792,negative
1793,positive
1794,positive
1795,positive
1796,positive
1797,negative
1798,positive
1799,positive
1800,positive
1801,positive
1802,negative
1803,positive
1804,positive
1805,negative
1806,positive
1807,positive
1808,positive
1809,negative
1810,negative
1811,negative
1812,positive
1813,positive
1814,positive
1815,negative
1816,positive
1817,negative
1818,negative
1819,positive
1820,positive
1821,positive
1822,positive
1823,negative
1824,negative
1825,positive
1826,negative
1827,positive
1828,positive
1829,negative
1830,positive
1831,positive
1832,positive
1833,negative
1834,positive
1835,negative
1836,negative
1837,positive
1838,positive
1839,negative
1840,positive
1841,positive
1842,positive
1843,positive
1844,positive
1845,positive
1846,negative
1847,positive
1848,positive
1849,negative
1850,positive
1851,negative
1852,positive
1853,positive
1854,positive
1855,negative
1856,negative
1857,negative
1858,positive
1859,positive
1860,positive
1861,positive
1862,positive
1863,positive
1864,positive
1865,positive
1866,positive
1867,positive
1868,positive
1869,positive
1870,negative
1871,negative
1872,positive
1873,negative
1874,positive
1875,neutral
1876,negative
1877,negative
1878,positive
1879,negative
1880,positive
1881,positive
1882,positive
1883,positive
1884,positive
1885,positive
1886,positive
1887,positive
1888,positive
1889,negative
1890,positive
1891,positive
1892,positive
1893,positive
1894,positive
1895,positive
1896,negative
1897,positive
1898,positive
1899,negative
1900,positive
1901,positive
1902,positive
1903,positive
1904,positive
1905,negative
1906,positive
1907,positive
1908,positive
1909,positive
1910,positive
1911,negative
1912,positive
1913,negative
1914,positive
1915,positive
1916,positive
1917,positive
1918,positive
1919,positive
1920,positive
1921,positive
1922,negative
1923,positive
1924,negative
1925,positive
1926,positive
1927,negative
1928,positive
1929,positive
1930,positive
1931,positive
1932,positive
1933,positive
1934,positive
1935,positive
1936,negative
1937,positive
1938,negative
1939,positive
1940,negative
1941,positive
1942,negative
1943,positive
1944,negative
1945,negative
1946,positive
1947,positive
1948,positive
1949,positive
1950,negative
1951,positive
1952,positive
1953,positive
1954,negative
1955,positive
1956,negative
1957,positive
1958,positive
1959,positive
1960,positive
1961,negative
1962,neutral
1963,negative
1964,positive
1965,positive
1966,negative
1967,positive
1968,positive
1969,positive
1970,negative
1971,positive
1972,positive
1973,positive
1974,positive
1975,positive
1976,positive
1977,positive
1978,positive
1979,positive
1980,negative
1981,positive
1982,positive
1983,negative
1984,positive
1985,positive
1986,negative
1987,positive
1988,negative
1989,positive
1990,positive
1991,negative
1992,positive
1993,positive
1994,positive
1995,positive
1996,negative
1997,positive
1998,positive
1999,positive
2000,negative
2001,negative
2002,negative
2003,negative
2004,neutral
2005,negative
2006,positive
2007,positive
2008,positive
2009,positive
2010,positive
2011,negative
2012,negative
2013,positive
2014,positive
2015,positive
2016,negative
2017,negative
2018,positive
2019,positive
2020,positive
2021,negative
2022,negative
2023,neutral
2024,positive
2025,positive
2026,positive
2027,negative
2028,positive
2029,negative
2030,positive
2031,positive
2032,positive
2033,positive
2034,positive
2035,positive
2036,negative
2037,positive
2038,positive
2039,positive
2040,negative
2041,positive
2042,positive
2043,positive
2044,positive
2045,positive
2046,negative
2047,positive
2048,positive
2049,positive
2050,positive
2051,negative
2052,positive
2053,negative
2054,positive
2055,positive
2056,positive
2057,positive
2058,positive
2059,positive
2060,positive
2061,positive
2062,positive
2063,negative
2064,positive
2065,positive
2066,positive
2067,positive
2068,positive
2069,negative
2070,positive
2071,positive
2072,negative
2073,positive
2074,positive
2075,positive
2076,positive
2077,positive
2078,positive
2079,positive
2080,negative
2081,positive
2082,positive
2083,negative
2084,negative
2085,positive
2086,positive
2087,positive
2088,positive
2089,positive
2090,negative
2091,negative
2092,positive
2093,positive
2094,negative
2095,positive
2096,positive
2097,negative
2098,negative
2099,positive
2100,negative
2101,positive
2102,positive
2103,positive
2104,positive
2105,positive
2106,negative
2107,positive
2108,positive
2109,positive
2110,positive
2111,negative
2112,neutral
2113,negative
2114,negative
2115,positive
2116,positive
2117,negative
2118,positive
2119,positive
2120,positive
2121,positive
2122,positive
2123,negative
2124,negative
2125,positive
2126,negative
2127,positive
2128,positive
2129,positive
2130,positive
2131,positive
2132,positive
2133,neutral
2134,negative
2135,negative
2136,negative
2137,positive
2138,positive
2139,positive
2140,positive
2141,positive
2142,positive
2143,neutral
2144,positive
2145,positive
2146,positive
2147,positive
2148,positive
2149,positive
2150,positive
2151,positive
2152,positive
2153,negative
2154,positive
2155,positive
2156,positive
2157,positive
2158,positive
2159,positive
2160,positive
2161,negative
2162,negative
2163,negative
2164,positive
2165,positive
2166,positive
2167,neutral
2168,positive
2169,negative
2170,positive
2171,positive
2172,negative
2173,positive
2174,positive
2175,positive
2176,negative
2177,negative
2178,positive
2179,positive
2180,positive
2181,positive
2182,positive
2183,positive
2184,positive
2185,positive
2186,negative
2187,negative
2188,positive
2189,positive
2190,positive
2191,positive
2192,positive
2193,positive
2194,positive
2195,positive
2196,positive
2197,negative
2198,positive
2199,positive
2200,negative
2201,positive
2202,negative
2203,negative
2204,positive
2205,positive
2206,positive
2207,positive
2208,positive
2209,positive
2210,negative
2211,positive
2212,positive
2213,positive
2214,positive
2215,negative
2216,negative
2217,positive
2218,negative
2219,positive
2220,negative
2221,positive
2222,negative
2223,positive
2224,positive
2225,positive
2226,positive
2227,positive
2228,positive
2229,negative
2230,positive
2231,positive
2232,positive
2233,positive
2234,positive
2235,positive
2236,negative
2237,positive
2238,positive
2239,positive
2240,positive
2241,positive
2242,negative
2243,negative
2244,positive
2245,positive
2246,positive
2247,positive
2248,positive
2249,positive
2250,positive
2251,negative
2252,positive
2253,negative
2254,negative
2255,negative
2256,positive
2257,positive
2258,positive
2259,positive
2260,positive
2261,positive
2262,positive
2263,positive
2264,positive
2265,positive
2266,negative
2267,positive
2268,positive
2269,positive
2270,positive
2271,positive
2272,positive
2273,negative
2274,positive
2275,positive
2276,positive
2277,positive
2278,positive
2279,negative
2280,positive
2281,negative
2282,positive
2283,positive
2284,negative
2285,positive
2286,negative
2287,positive
2288,positive
2289,positive
2290,negative
2291,positive
2292,positive
2293,negative
2294,positive
2295,positive
2296,positive
2297,positive
2298,positive
2299,positive
2300,positive
2301,positive
2302,positive
2303,neutral
2304,positive
2305,positive
2306,positive
2307,positive
2308,positive
2309,positive
2310,positive
2311,positive
2312,positive
2313,negative
2314,positive
2315,negative
2316,negative
2317,positive
2318,positive
2319,negative
2320,positive
2321,positive
2322,negative
2323,positive
2324,negative
2325,negative
2326,positive
2327,negative
2328,positive
2329,positive
2330,positive
2331,negative
2332,neutral
2333,negative
2334,positive
2335,positive
2336,positive
2337,positive
2338,negative
2339,positive
2340,positive
2341,positive
2342,positive
2343,negative
2344,positive
2345,negative
2346,negative
2347,positive
2348,positive
2349,negative
2350,positive
2351,positive
2352,negative
2353,positive
2354,positive
2355,positive
2356,positive
2357,positive
2358,positive
2359,positive
2360,negative
2361,positive
2362,negative
2363,positive
2364,negative
2365,positive
2366,positive
2367,positive
2368,positive
2369,positive
2370,negative
2371,negative
2372,negative
2373,negative
2374,positive
2375,negative
2376,positive
2377,negative
2378,positive
2379,positive
2380,positive
2381,positive
2382,positive
2383,negative
2384,positive
2385,positive
2386,positive
2387,negative
2388,positive
2389,positive
2390,negative
2391,positive
2392,neutral
2393,positive
2394,positive
2395,positive
2396,positive
2397,negative
2398,positive
2399,positive
2400,positive
2401,positive
2402,positive
2403,negative
2404,positive
2405,positive
2406,negative
2407,positive
2408,positive
2409,positive
2410,positive
2411,positive
2412,negative
2413,positive
2414,positive
2415,positive
2416,positive
2417,negative
2418,negative
2419,positive
2420,negative
2421,positive
2422,positive
2423,positive
2424,positive
2425,negative
2426,negative
2427,negative
2428,positive
2429,positive
2430,negative
2431,positive
2432,negative
2433,positive
2434,positive
2435,positive
2436,positive
2437,neutral
2438,positive
2439,positive
2440,negative
2441,positive
2442,positive
2443,positive
2444,positive
2445,negative
2446,positive
2447,positive
2448,positive
2449,positive
2450,positive
2451,positive
2452,positive
2453,negative
2454,positive
2455,positive
2456,positive
2457,negative
2458,positive
2459,positive
2460,negative
2461,positive
2462,negative
2463,positive
2464,positive
2465,positive
2466,neutral
2467,negative
2468,negative
2469,positive
2470,positive
2471,positive
2472,positive
2473,positive
2474,negative
2475,positive
2476,negative
2477,positive
2478,positive
2479,positive
2480,negative
2481,negative
2482,positive
2483,negative
2484,positive
2485,negative
2486,negative
2487,positive
2488,positive
2489,negative
2490,positive
2491,positive
2492,positive
